date,lb_m_1,lb_m_3,lb_m_6,lb_m_12,lb_m_orig_1,lb_m_orig_3,lb_m_orig_6,lb_m_orig_12,lb_cylr_1,lb_cylr_3,lb_cylr_6,lb_cylr_12,lb_cylr_orig_1,lb_cylr_orig_3,lb_cylr_orig_6,lb_cylr_orig_12
1993-05-18,1.4543984631321247,1.7568016171477994,1.8440284575476096,1.7869591830270117,,,,,1.57105244914662,1.9971353385175121,2.1449884802796193,2.095546720630148,,,,
1993-05-19,1.3885762038035634,1.6355373337459154,1.7433254446472564,1.7796507900559169,,,,,1.504706529181297,1.8615941962345846,2.0828092343674514,2.1708459013033856,,,,
1993-05-20,1.2832993645477349,1.5365380752520201,1.640472866379089,1.6850687609566137,,,,,1.406646284511157,1.7443681051298559,1.9289621064935991,2.033118530085042,,,,
1993-05-21,1.5170835609714504,1.6434371184066507,1.723773264502726,1.7242561403337242,,,,,1.6431361433212763,1.8427398147688636,1.9878557000025123,2.019041557076408,,,,
1993-05-24,1.5816682420736154,1.538306589376822,1.662145402031005,1.6835904839046827,,,,,1.713096578373772,1.7386681002550843,1.9575463047144293,2.006516187758396,,,,
1993-05-25,1.369690105756651,1.7404787698095652,1.6059071549847184,1.649913540377543,,,,,1.4773675867024485,1.9097185008915336,1.8638235837790138,1.9524904819495803,,,,
1993-05-26,1.402392370437666,1.3488924633212866,1.5578200226705763,1.6244222486372202,,,,,1.5042246179881682,1.5097446706756985,1.8418188807108986,1.9646202033640825,,,,
1993-05-27,1.283108568357319,1.409029571445618,1.5672524180668224,1.6298827835370808,,,,,1.379621985715369,1.6046117000664082,1.8148366145134436,1.91628399983504,,,,
1993-05-28,1.222776738799277,1.4508962332044983,1.5753737855521694,1.6534283356254331,,,,,1.3332003941043953,1.6517528447735723,1.8244308649497794,1.9570933135937865,,,,
1993-06-01,1.3141533511399137,1.4505611728416132,1.5515879195841835,1.6244189660337007,,,,,1.4448029599045804,1.6321137095504428,1.7989261263578156,1.9387320964253385,,,,
1993-06-02,1.2932334670790384,1.380124779663101,1.5295881018359736,1.6305095561751792,,,,,1.422552612693893,1.5611149310961399,1.7682644974567114,1.946029483195419,,,,
1993-06-03,1.3120325936999224,1.3719357327612118,1.5274322304516461,1.654336474834533,,,,,1.42034062548582,1.547921560494568,1.7597093473518737,1.9597891909736511,,,,
1993-06-04,1.3114848727083217,1.3645673080567606,1.5555257434218743,1.6583540390706943,,,,,1.4272274234069304,1.5314258800925173,1.7950316328624611,1.9676153832473384,,,,
1993-06-07,1.371264402413032,1.423139535489133,1.57459346980499,1.6617103959312935,,,,,1.4795234427470962,1.5896006161919274,1.7842504679840818,1.9145629062305454,,,,
1993-06-08,1.4406231333518746,1.5163443913935741,1.61753851757157,1.6913791004308079,,,,,1.5581886502184612,1.6906830447871164,1.8400329055543099,1.9472608635120872,,,,
1993-06-09,1.3485663269453072,1.496719725817012,1.621578280843015,1.705652794230608,,,,,1.4446998149884809,1.6664874474887614,1.8530902101503346,1.9797689655110424,,,,
1993-06-10,1.345197312764393,1.534071591447575,1.622623156599471,1.6887932690605707,,,,,1.4587921078637132,1.705536251684649,1.8501205268603,1.9542365644542143,,,,
1993-06-11,1.190877847593266,1.394906932376497,1.6138131493696832,1.6990459599120273,,,,,1.2795856657316869,1.546575415650611,1.8422981661566835,1.9693782734746832,,,,
1993-06-14,1.231900042009102,1.3745824635387613,1.595287284411246,1.6561253372847866,,,,,1.3220251592534413,1.5172740898456762,1.8193730349557804,1.9254976761246076,,,,
1993-06-15,1.1587126032420036,1.3610606777845011,1.5963341888645486,1.6449993706941601,,,,,1.2359360806889554,1.4914762049628936,1.8087876051378404,1.894180429758304,,,,
1993-06-16,1.0238476001162402,1.35456731707874,1.5553619539398007,1.6629174291001976,,,,,1.0613009945353067,1.4939869790151257,1.788391425994868,1.9500309937250833,,,,
1993-06-17,0.9880304490088516,1.3097992875270152,1.542280694993896,1.6247316612225413,,,,,1.026830009938524,1.4458013659425883,1.7691291618409453,1.89421394455545,,,,
1993-06-18,1.1959866021331456,1.4367505822342488,1.5897430686922749,1.6707024471698089,,,,,1.2693046359653541,1.5555156876536294,1.773930530987092,1.9031962439123518,,,,
1993-06-21,1.057617152214757,1.3123629109853696,1.5799878677904844,1.6936724449296372,,,,,1.1159102737862183,1.4473214537712045,1.8119571568544577,1.9774365609161084,,,,
1993-06-22,1.0632303371753271,1.3705407957557976,1.5504862858746027,1.6762586085274649,,,,,1.11826132771614,1.502147154035751,1.7751333229120985,1.950572249014924,,,,
1993-06-23,1.1965249224927694,1.4201279323464202,1.5930910769903581,1.7058791789228973,,,,,1.2683414917522156,1.5457001517535327,1.8072378287023054,1.9649646751702654,,,,
1993-06-24,1.081549218126685,1.2903269260688215,1.542392603581227,1.6656070852288687,,,,,1.145665799369218,1.429904253071117,1.780591020165822,1.9650188096360777,,,,
1993-06-25,0.9461671234198887,1.3106275936095746,1.486919523418025,1.6975596409152576,,,,,0.985449956942309,1.4430169844975793,1.7008258771725275,1.965381580767222,,,,
1993-06-28,0.9149504987726491,1.2772626643412661,1.4609921450436907,1.6176150309968182,,,,,0.9769999813624565,1.4056085495950332,1.6831294432729675,1.880002580140876,,,,
1993-06-29,0.9447492250813609,1.2780540234574425,1.445534595930996,1.6311410207555,,,,,1.010230458392428,1.3999175444932406,1.650798138104694,1.8674230511299357,,,,
1993-06-30,0.9142472879161946,1.256728642271228,1.463141609630783,1.6296788723980882,,,,,0.9550450902851816,1.3767144546102283,1.6722834977127201,1.8710816382575914,,,,
1993-07-01,0.9881808715049799,1.2494240716141618,1.4813355305363918,1.7236482608832335,,,,,1.0272448992590266,1.3710364525192982,1.687667088107156,2.0358600456572007,,,,
1993-07-02,0.942638791490866,1.3265882401783113,1.488888926674738,1.7244486523967082,,,,,0.9807410073426871,1.4534463957421453,1.693103989550768,2.049237847581852,,,,
1993-07-06,1.2995454266254727,1.4799326246962174,1.613473955212409,1.7623297407790288,,,,,1.3851223220304318,1.619312379317925,1.816651790398827,2.066675593339345,,,,
1993-07-07,1.159578141643089,1.4508823191462124,1.61339351437696,1.7815874996038241,,,,,1.2087671555809054,1.6054186144614453,1.8430524616550956,2.129056012734878,,,,
1993-07-08,1.0198927432391356,1.3207110997964981,1.536696227143675,1.7347078258409876,,,,,1.0708730474523491,1.4867332610717234,1.7932894325038407,2.113724630826011,,,,
1993-07-09,0.9761581171525071,1.255533807400529,1.512698573154856,1.730333021645373,,,,,1.0233776547601472,1.3972187898632287,1.7502366457690928,2.0674234395502205,,,,
